row_index,classe_real,predicao,fold
373,c5,c5,1
374,c234,c5,0
375,c1,c1,0
376,c1,c5,3
377,c1,c234,1
378,c5,c5,1
379,c5,c234,3
380,c5,c234,0
381,c1,c1,2
382,c5,c234,1
383,c1,c234,3
384,c5,c5,2
385,c234,c1,1
386,c5,c5,2
387,c5,c234,1
388,c5,c5,4
389,c234,c1,3
390,c5,c5,2
391,c5,c1,4
392,c1,c1,1
393,c234,c5,1
394,c1,c1,2
395,c5,c5,0
396,c234,c234,1
397,c1,c1,3
398,c5,c234,0
399,c234,c234,3
400,c1,c1,2
401,c234,c5,1
402,c234,c234,4
403,c234,c1,2
404,c5,c5,3
405,c234,c5,1
406,c1,c234,3
407,c1,c1,0
408,c5,c234,3
409,c1,c234,3
410,c234,c5,0
411,c5,c5,2
412,c1,c234,1
413,c1,c234,2
414,c234,c5,4
415,c234,c5,3
416,c1,c1,1
417,c234,c5,0
418,c234,c234,1
419,c1,c1,3
420,c5,c5,2
421,c1,c1,1
422,c1,c234,2
423,c1,c1,0
424,c1,c5,4
425,c1,c234,4
426,c1,c1,0
427,c1,c5,0
428,c1,c1,3
429,c1,c1,1
430,c234,c1,4
431,c5,c5,4
432,c234,c234,1
433,c234,c1,0
434,c5,c5,0
435,c1,c5,2
436,c1,c1,0
437,c1,c1,4
438,c234,c234,4
439,c5,c5,1
440,c1,c234,1
441,c1,c234,0
442,c1,c234,2
443,c234,c234,0
444,c234,c234,4
445,c5,c5,1
446,c1,c234,3
447,c234,c1,0
448,c234,c5,3
449,c5,c234,2
450,c5,c234,3
451,c1,c234,2
452,c5,c1,1
453,c234,c5,3
454,c1,c1,3
455,c5,c5,1
456,c5,c234,4
457,c234,c234,0
458,c1,c234,0
459,c234,c234,0
460,c1,c234,1
461,c5,c1,4
462,c234,c234,4
463,c1,c5,2
464,c234,c234,4
465,c5,c5,0
466,c5,c5,0
467,c234,c1,2
468,c1,c5,2
469,c1,c234,2
470,c234,c5,3
471,c5,c5,4
472,c1,c1,1
473,c234,c5,4
474,c5,c5,4
475,c1,c1,1
476,c1,c1,1
477,c234,c234,1
478,c1,c1,4
479,c1,c234,1
480,c234,c5,4
481,c234,c5,0
482,c5,c234,2
483,c5,c1,0
484,c1,c1,2
485,c5,c234,2
486,c1,c234,2
487,c234,c1,2
488,c234,c5,2
489,c5,c5,3
490,c5,c5,2
491,c234,c1,4
492,c234,c234,3
493,c1,c5,0
494,c234,c1,0
495,c234,c5,1
496,c234,c1,3
497,c5,c234,2
498,c234,c5,2
499,c1,c5,0
500,c234,c5,3
501,c1,c1,3
502,c5,c5,0
503,c1,c1,0
504,c1,c1,1
505,c5,c234,2
506,c5,c1,4
507,c234,c5,1
508,c234,c234,1
509,c234,c1,3
510,c5,c5,1
511,c5,c5,4
512,c1,c1,1
513,c5,c1,2
514,c234,c234,2
515,c5,c234,3
516,c234,c234,1
517,c5,c1,1
518,c234,c1,2
519,c1,c234,3
520,c1,c1,0
521,c1,c5,2
522,c1,c1,0
523,c5,c234,3
524,c5,c1,2
525,c5,c5,2
526,c5,c1,4
527,c1,c1,2
528,c1,c5,2
529,c1,c1,4
530,c5,c234,3
531,c5,c234,2
532,c1,c234,2
533,c5,c234,4
534,c1,c234,4
535,c1,c234,1
536,c234,c1,1
537,c5,c1,1
538,c5,c5,0
539,c1,c234,1
540,c5,c234,2
541,c234,c234,4
542,c234,c234,0
543,c234,c5,2
544,c234,c234,4
545,c1,c5,3
546,c1,c1,2
547,c1,c5,2
548,c234,c234,3
549,c1,c234,1
550,c5,c1,4
551,c234,c1,3
552,c1,c1,2
553,c234,c234,3
554,c5,c5,3
555,c234,c1,3
556,c234,c234,4
557,c1,c1,3
558,c5,c5,0
559,c1,c1,3
560,c1,c1,3
561,c234,c1,0
562,c1,c1,1
563,c5,c5,0
564,c1,c1,2
565,c234,c5,1
566,c234,c1,3
567,c234,c1,0
568,c1,c1,4
569,c5,c5,2
570,c5,c5,1
571,c5,c5,2
572,c5,c5,2
573,c1,c1,1
574,c234,c234,1
575,c5,c5,2
576,c234,c5,0
577,c5,c5,4
578,c5,c5,2
579,c1,c1,0
580,c5,c5,4
581,c234,c1,1
582,c1,c1,3
583,c5,c5,4
584,c1,c234,1
585,c234,c1,2
586,c234,c5,2
587,c1,c1,1
588,c1,c1,0
589,c1,c234,3
590,c5,c5,4
591,c234,c234,4
592,c234,c1,4
593,c234,c5,2
594,c1,c1,4
595,c1,c1,3
596,c1,c5,2
597,c1,c234,0
598,c5,c234,4
599,c1,c1,3
600,c5,c1,0
601,c234,c5,0
602,c5,c234,3
603,c5,c1,2
604,c234,c1,3
605,c234,c5,3
606,c1,c234,0
607,c5,c1,0
608,c1,c5,3
609,c5,c5,2
610,c1,c1,2
611,c5,c234,3
612,c5,c1,0
613,c1,c1,3
614,c234,c1,4
615,c1,c1,3
616,c5,c5,0
617,c234,c234,3
618,c1,c1,0
619,c5,c5,2
620,c5,c5,3
621,c234,c234,1
622,c5,c5,2
623,c234,c234,4
624,c1,c1,1
625,c5,c5,3
626,c5,c5,4
627,c234,c1,3
628,c1,c1,3
629,c234,c5,4
630,c234,c234,2
631,c234,c5,4
632,c1,c5,2
633,c1,c234,1
634,c234,c234,2
635,c5,c5,2
636,c234,c234,4
637,c1,c1,0
638,c1,c1,4
639,c1,c234,2
640,c5,c5,0
641,c1,c234,4
642,c5,c5,4
643,c234,c1,2
644,c5,c1,3
645,c234,c1,3
646,c234,c1,4
647,c5,c5,3
648,c1,c1,3
649,c234,c5,2
650,c5,c234,0
651,c1,c1,3
652,c1,c1,3
653,c234,c234,3
654,c234,c5,2
655,c234,c1,2
656,c5,c5,2
657,c234,c1,3
658,c1,c5,3
659,c234,c5,1
660,c5,c5,4
661,c5,c5,2
662,c1,c5,4
663,c5,c5,4
664,c1,c5,4
665,c5,c234,2
666,c234,c1,2
667,c5,c5,4
668,c1,c1,0
669,c5,c5,4
670,c234,c234,1
671,c234,c5,3
672,c234,c234,0
673,c234,c234,1
674,c1,c1,1
675,c5,c1,2
676,c1,c234,4
677,c1,c234,4
678,c5,c1,3
679,c234,c234,4
680,c1,c1,1
681,c1,c5,1
682,c1,c234,3
683,c5,c5,0
684,c234,c1,3
685,c5,c234,0
686,c5,c5,1
687,c234,c234,1
688,c1,c5,2
689,c234,c5,4
690,c5,c1,0
691,c234,c234,3
692,c5,c1,1
693,c234,c234,3
694,c5,c1,4
695,c234,c234,2
696,c234,c5,3
697,c234,c5,2
698,c5,c5,3
699,c5,c234,4
700,c234,c234,2
701,c5,c1,1
702,c234,c1,0
703,c234,c5,0
704,c1,c1,4
705,c1,c234,2
706,c234,c1,1
707,c1,c1,3
708,c5,c234,3
709,c1,c1,1
710,c1,c5,1
711,c5,c5,1
712,c1,c5,0
713,c234,c5,0
714,c5,c1,4
715,c234,c5,0
716,c234,c234,1
717,c5,c1,3
718,c5,c5,1
719,c5,c1,4
720,c1,c1,4
721,c5,c234,4
722,c234,c5,4
723,c234,c234,0
724,c5,c5,1
725,c234,c234,4
726,c5,c5,0
727,c1,c5,0
728,c1,c1,3
729,c1,c234,3
730,c5,c5,3
731,c5,c5,0
732,c1,c1,4
733,c1,c1,0
734,c234,c5,2
735,c234,c5,2
736,c5,c5,0
737,c234,c5,3
738,c5,c1,1
739,c1,c1,3
740,c234,c5,2
741,c5,c1,0
742,c1,c1,4
743,c234,c1,1
744,c5,c5,0
745,c1,c5,2
746,c5,c1,1
747,c1,c234,3
748,c1,c5,1
749,c234,c5,1
750,c5,c5,4
751,c5,c5,3
752,c234,c1,4
753,c1,c1,4
754,c5,c1,2
755,c1,c1,1
756,c234,c5,2
757,c234,c5,0
758,c5,c1,4
759,c1,c234,0
760,c234,c1,0
761,c1,c1,1
762,c1,c5,2
763,c1,c1,2
764,c234,c234,0
765,c1,c1,2
766,c234,c1,2
767,c5,c1,3
768,c1,c234,3
769,c5,c234,1
770,c234,c234,4
771,c5,c5,4
772,c5,c5,4
773,c5,c1,4
774,c1,c234,1
775,c234,c1,0
776,c1,c1,1
777,c5,c234,0
778,c5,c5,0
779,c234,c1,1
780,c5,c5,4
781,c1,c5,4
782,c234,c5,1
783,c5,c234,1
784,c234,c234,0
785,c1,c5,0
786,c234,c5,1
787,c1,c1,2
788,c234,c5,4
789,c234,c234,0
790,c234,c5,0
791,c234,c5,1
792,c234,c5,2
793,c1,c234,4
794,c1,c234,4
795,c5,c5,0
796,c5,c5,4
797,c5,c5,2
798,c1,c1,3
799,c234,c5,4
800,c234,c234,3
801,c234,c1,1
802,c5,c5,0
803,c234,c5,3
804,c5,c5,2
805,c1,c234,2
806,c1,c1,1
807,c5,c5,2
808,c234,c5,2
809,c5,c5,1
810,c5,c5,4
811,c1,c234,4
812,c1,c234,4
813,c5,c234,3
814,c5,c5,4
815,c1,c234,4
816,c5,c234,4
817,c5,c1,2
818,c5,c1,4
819,c5,c234,3
820,c5,c5,4
821,c234,c1,1
822,c1,c234,3
823,c5,c5,3
824,c1,c1,3
825,c234,c1,3
826,c5,c5,2
827,c5,c5,0
828,c234,c1,0
829,c1,c5,2
830,c5,c1,1
831,c234,c5,2
832,c1,c1,2
833,c234,c1,2
834,c234,c5,0
835,c5,c5,4
836,c234,c234,1
837,c234,c1,4
838,c5,c5,2
839,c5,c5,2
840,c5,c1,0
841,c234,c1,1
842,c5,c5,0
843,c5,c234,4
844,c5,c5,0
845,c1,c234,2
846,c234,c1,4
847,c1,c234,1
848,c234,c5,2
849,c5,c5,4
850,c1,c1,4
851,c5,c234,0
852,c1,c1,1
853,c5,c234,0
854,c234,c5,0
855,c234,c1,3
856,c1,c234,0
857,c234,c234,0
858,c1,c234,3
859,c5,c234,1
860,c1,c234,3
861,c1,c234,0
862,c234,c1,3
863,c1,c5,4
864,c1,c1,2
865,c5,c5,4
866,c5,c5,3
867,c5,c5,2
868,c1,c234,1
869,c1,c1,3
870,c1,c234,2
871,c5,c5,4
872,c234,c5,1
873,c5,c5,4
874,c234,c234,1
875,c1,c1,4
876,c5,c234,3
877,c5,c234,3
878,c5,c234,3
879,c234,c1,4
880,c1,c5,2
881,c234,c5,2
882,c1,c234,3
883,c5,c234,0
884,c234,c1,3
885,c5,c5,0
886,c5,c234,2
887,c234,c5,3
888,c1,c1,1
889,c5,c5,1
890,c1,c1,1
891,c5,c5,3
892,c234,c234,2
893,c234,c234,4
894,c1,c234,2
895,c5,c5,1
896,c1,c1,3
897,c1,c5,1
898,c234,c5,4
899,c5,c5,3
900,c5,c1,1
901,c234,c234,3
902,c1,c1,3
903,c5,c5,2
904,c1,c1,2
905,c1,c5,1
906,c5,c5,4
907,c234,c1,0
908,c5,c5,4
909,c5,c1,2
910,c5,c5,3
911,c5,c1,0
912,c5,c5,3
913,c1,c5,4
914,c5,c234,2
915,c1,c234,1
916,c234,c1,3
917,c5,c1,4
918,c1,c1,4
919,c1,c5,2
920,c234,c1,2
921,c234,c1,4
922,c234,c234,2
923,c234,c5,1
924,c234,c1,3
925,c1,c234,1
926,c5,c234,1
927,c5,c1,4
928,c234,c5,3
929,c1,c1,2
930,c1,c1,0
931,c1,c1,1
932,c234,c234,2
933,c234,c5,4
934,c234,c5,2
935,c5,c5,4
936,c5,c5,3
937,c234,c5,1
938,c234,c5,4
939,c1,c234,0
940,c1,c1,2
941,c1,c1,2
942,c1,c1,3
943,c5,c5,0
944,c1,c234,3
945,c5,c234,2
946,c1,c1,1
947,c5,c5,2
948,c234,c234,1
949,c234,c234,4
950,c234,c1,1
951,c234,c5,2
952,c234,c5,1
953,c1,c234,1
954,c1,c234,2
955,c234,c5,3
956,c5,c5,4
957,c1,c1,3
958,c1,c234,1
959,c1,c5,3
960,c5,c1,1
961,c234,c1,1
962,c5,c1,2
963,c234,c1,1
964,c1,c5,2
965,c234,c234,0
966,c1,c1,3
967,c1,c234,0
968,c5,c234,4
969,c5,c234,0
970,c1,c234,0
971,c5,c234,0
972,c1,c234,3
973,c1,c234,2
974,c5,c5,3
975,c1,c1,4
976,c1,c234,3
977,c5,c5,1
978,c234,c234,0
979,c5,c5,3
980,c5,c5,1
981,c5,c1,2
982,c1,c1,2
983,c234,c5,2
984,c1,c1,3
985,c1,c1,1
986,c234,c234,3
987,c1,c5,4
988,c234,c1,2
989,c234,c5,3
990,c234,c234,2
991,c1,c5,2
992,c234,c1,0
993,c234,c1,4
994,c5,c5,1
995,c1,c5,1
996,c234,c5,1
997,c234,c234,3
998,c234,c1,0
999,c5,c5,4
1000,c234,c1,0
1001,c234,c5,1
1002,c1,c5,2
1003,c234,c234,3
1004,c1,c1,0
1005,c234,c1,2
1006,c1,c1,1
1007,c5,c234,1
1008,c1,c1,3
1009,c234,c5,1
1010,c5,c5,4
1011,c234,c1,1
1012,c234,c5,1
1013,c1,c234,3
1014,c5,c5,1
1015,c234,c5,3
1016,c1,c5,1
1017,c5,c234,2
1018,c234,c1,0
1019,c1,c1,1
1020,c1,c234,4
1021,c1,c1,0
1022,c234,c5,3
1023,c234,c1,2
1024,c234,c234,0
1025,c5,c5,2
1026,c5,c1,3
1027,c1,c1,3
1028,c1,c1,0
1029,c1,c1,2
1030,c5,c1,3
1031,c5,c5,0
1032,c1,c1,1
1033,c1,c5,1
1034,c1,c234,0
1035,c234,c1,0
1036,c5,c234,4
1037,c234,c234,1
1038,c1,c5,3
1039,c5,c1,0
1040,c5,c5,2
1041,c5,c5,4
1042,c1,c5,1
1043,c234,c5,3
1044,c1,c5,4
1045,c1,c1,1
1046,c234,c1,0
1047,c234,c5,0
1048,c5,c1,4
1049,c1,c234,3
1050,c1,c234,4
1051,c5,c234,1
1052,c234,c1,3
1053,c1,c5,1
1054,c5,c234,2
1055,c234,c1,4
1056,c1,c1,3
1057,c234,c1,0
1058,c234,c5,4
1059,c5,c234,4
1060,c234,c234,4
1061,c5,c5,0
1062,c5,c1,0
1063,c234,c5,2
1064,c1,c234,0
1065,c5,c1,4
1066,c234,c5,3
1067,c234,c234,0
1068,c5,c5,3
1069,c234,c1,0
1070,c1,c1,2
1071,c5,c234,4
1072,c1,c1,0
1073,c1,c1,4
1074,c1,c1,3
1075,c234,c1,0
1076,c1,c1,1
1077,c5,c1,0
1078,c1,c234,3
1079,c5,c1,3
1080,c5,c234,4
1081,c234,c1,1
1082,c1,c234,1
1083,c1,c5,0
1084,c1,c1,2
1085,c234,c1,4
1086,c1,c234,4
1087,c234,c234,4
1088,c234,c234,1
1089,c1,c1,1
1090,c1,c1,0
1091,c5,c234,3
1092,c234,c234,3
1093,c5,c1,1
1094,c1,c1,2
1095,c1,c234,3
1096,c5,c5,4
1097,c5,c234,2
1098,c234,c5,0
1099,c234,c1,4
1100,c234,c5,3
1101,c5,c5,3
1102,c234,c234,3
1103,c1,c234,0
1104,c5,c5,0
1105,c5,c5,1
1106,c234,c5,2
1107,c234,c5,3
1108,c234,c5,2
1109,c234,c5,4
1110,c1,c234,1
1111,c234,c234,0
1112,c5,c1,1
1113,c234,c5,3
1114,c1,c5,1
1115,c1,c5,3
1116,c234,c1,0
1117,c5,c5,0
1118,c1,c1,2
1119,c1,c1,0
1120,c234,c5,4
1121,c234,c234,2
1122,c234,c1,2
1123,c234,c1,2
1124,c234,c234,0
1125,c1,c5,2
1126,c5,c5,4
1127,c5,c234,4
1128,c234,c5,2
1129,c234,c1,3
1130,c1,c1,4
1131,c1,c1,0
1132,c1,c1,1
1133,c234,c234,0
1134,c5,c5,1
1135,c234,c234,0
1136,c1,c234,3
1137,c234,c5,0
1138,c234,c234,0
1139,c5,c5,2
1140,c5,c5,4
1141,c1,c5,2
1142,c5,c1,4
1143,c1,c1,4
1144,c5,c5,3
1145,c234,c1,0
1146,c1,c234,0
1147,c234,c234,0
1148,c1,c234,3
1149,c1,c1,1
1150,c1,c1,2
1151,c234,c234,2
1152,c5,c1,3
1153,c5,c1,3
1154,c1,c234,2
1155,c5,c234,4
1156,c234,c234,3
1157,c234,c5,4
1158,c234,c1,1
1159,c234,c234,4
1160,c5,c5,0
1161,c234,c234,4
1162,c5,c234,4
1163,c234,c1,1
1164,c5,c234,3
1165,c234,c5,4
1166,c5,c1,1
1167,c1,c1,3
1168,c234,c5,1
1169,c5,c1,2
1170,c5,c234,3
1171,c5,c1,2
1172,c5,c5,4
1173,c234,c234,1
1174,c1,c1,3
1175,c5,c5,0
1176,c234,c234,0
1177,c1,c1,3
1178,c5,c1,3
1179,c5,c234,0
1180,c5,c5,4
1181,c234,c5,3
1182,c234,c5,3
1183,c5,c234,0
1184,c234,c5,4
1185,c234,c234,1
1186,c5,c5,0
1187,c1,c234,1
1188,c234,c1,2
1189,c1,c5,1
1190,c234,c1,0
1191,c5,c5,3
1192,c1,c1,0
1193,c1,c1,1
1194,c234,c5,1
1195,c234,c1,0
1196,c5,c1,0
1197,c5,c1,0
1198,c1,c1,4
1199,c5,c5,4
1200,c5,c234,1
1201,c234,c234,0
1202,c234,c5,1
1203,c234,c5,0
1204,c234,c234,3
1205,c1,c1,2
1206,c234,c5,3
1207,c5,c1,4
1208,c5,c5,3
1209,c5,c5,0
1210,c5,c1,3
1211,c5,c5,2
1212,c1,c1,3
1213,c234,c5,2
1214,c5,c5,0
1215,c1,c234,3
1216,c234,c1,0
1217,c1,c1,2
1218,c5,c1,1
1219,c234,c234,3
1220,c5,c234,4
1221,c1,c5,3
1222,c1,c1,0
1223,c234,c1,0
1224,c234,c5,4
1225,c1,c1,2
1226,c5,c234,1
1227,c5,c1,2
1228,c234,c234,4
1229,c234,c234,3
1230,c5,c234,3
1231,c5,c5,0
1232,c5,c5,3
1233,c1,c5,2
1234,c5,c1,4
1235,c5,c1,3
1236,c5,c5,2
1237,c234,c5,2
1238,c1,c234,0
1239,c5,c1,1
1240,c1,c234,4
1241,c5,c1,3
1242,c5,c1,0
1243,c234,c5,0
1244,c5,c5,3
1245,c5,c234,2
1246,c5,c234,0
1247,c5,c234,1
1248,c1,c1,4
1249,c1,c234,1
1250,c234,c234,4
1251,c5,c1,3
1252,c234,c5,1
1253,c234,c234,0
1254,c5,c5,1
1255,c234,c234,1
1256,c234,c1,2
1257,c1,c234,4
1258,c234,c1,2
1259,c234,c1,2
1260,c234,c5,2
1261,c5,c234,4
1262,c5,c1,3
1263,c5,c234,1
1264,c1,c1,4
1265,c234,c234,2
1266,c234,c234,3
1267,c5,c5,0
1268,c5,c234,2
1269,c5,c5,0
1270,c234,c234,4
1271,c5,c5,4
1272,c5,c1,2
1273,c1,c1,4
1274,c5,c5,4
1275,c234,c1,0
1276,c1,c1,0
1277,c234,c5,0
1278,c5,c5,1
1279,c234,c234,2
1280,c1,c234,3
1281,c1,c234,2
1282,c5,c5,2
1283,c234,c1,2
1284,c1,c234,2
1285,c5,c1,1
1286,c234,c234,4
1287,c1,c5,1
1288,c1,c5,3
1289,c234,c5,2
1290,c234,c5,1
1291,c5,c5,2
1292,c1,c5,3
1293,c234,c234,2
1294,c234,c234,3
1295,c5,c234,2
1296,c1,c234,2
1297,c234,c5,3
1298,c5,c5,3
1299,c1,c234,1
1300,c234,c234,2
1301,c5,c234,1
1302,c5,c5,1
1303,c234,c5,1
1304,c1,c234,0
1305,c1,c234,0
1306,c234,c5,1
1307,c1,c1,1
1308,c234,c234,4
1309,c234,c5,1
1310,c1,c234,0
1311,c1,c1,4
1312,c5,c234,0
1313,c234,c5,1
1314,c5,c5,4
1315,c234,c5,4
1316,c1,c1,1
1317,c1,c1,4
1318,c1,c234,3
1319,c1,c1,4
1320,c234,c1,4
1321,c5,c234,4
1322,c5,c5,0
1323,c5,c1,0
1324,c234,c5,3
1325,c1,c234,2
1326,c234,c234,1
1327,c1,c1,3
1328,c5,c5,2
1329,c5,c1,3
1330,c5,c234,2
1331,c1,c234,1
1332,c234,c1,0
1333,c5,c5,0
1334,c5,c1,0
1335,c1,c1,2
1336,c1,c1,2
1337,c5,c5,3
1338,c234,c1,4
1339,c1,c234,3
1340,c5,c5,2
1341,c1,c1,0
1342,c234,c5,0
1343,c234,c1,3
1344,c234,c234,2
1345,c5,c5,4
1346,c5,c1,0
1347,c234,c234,3
1348,c5,c1,3
1349,c5,c234,1
1350,c5,c5,2
1351,c1,c1,1
1352,c5,c5,3
1353,c234,c234,3
1354,c5,c5,2
1355,c234,c5,3
1356,c234,c5,0
1357,c234,c1,2
1358,c1,c5,2
1359,c5,c5,2
