row_id,clarity,n_tokens
253,c234,818
254,c234,155
255,c5,185
256,c5,61
257,c234,353
258,c5,129
259,c5,61
260,c5,388
261,c1,153
262,c5,101
263,c5,129
264,c234,517
265,c234,48
266,c234,622
267,c5,1029
268,c5,512
269,c1,394
270,c234,178
271,c1,593
272,c1,2092
273,c5,146
274,c234,376
275,c5,41
276,c234,231
277,c5,56
278,c5,31
279,c234,234
280,c5,1056
281,c5,1614
282,c1,777
283,c5,51
284,c5,35
285,c5,475
286,c234,723
287,c1,87
288,c1,185
289,c234,392
290,c1,1658
291,c234,483
292,c234,460
293,c5,375
294,c5,43
295,c1,136
296,c1,392
297,c5,998
298,c234,215
299,c1,87
300,c1,683
301,c234,270
302,c234,354
303,c5,44
304,c5,78
305,c234,369
306,c234,16
307,c5,483
308,c1,499
309,c1,180
310,c1,671
311,c5,490
312,c234,47
313,c1,239
314,c234,685
315,c5,42
316,c5,411
317,c5,54
318,c234,1007
319,c234,232
320,c5,1164
321,c5,327
322,c5,151
323,c234,43
324,c5,261
325,c1,550
326,c1,170
327,c5,221
328,c1,301
329,c5,178
330,c1,169
331,c1,99
332,c1,12
333,c5,231
334,c234,1606
335,c1,219
336,c5,228
337,c5,355
338,c234,296
339,c1,452
340,c1,298
341,c5,307
342,c5,96
343,c234,426
344,c5,87
345,c234,602
346,c5,320
347,c5,275
348,c5,595
349,c5,34
350,c5,32
351,c234,213
352,c1,57
353,c1,1580
354,c1,487
355,c5,282
356,c5,499
357,c1,1297
358,c234,119
359,c234,364
360,c5,253
361,c234,460
362,c1,171
363,c234,315
364,c234,297
365,c1,68
366,c1,399
367,c1,404
368,c5,201
369,c5,247
370,c5,248
371,c5,77
372,c234,351
373,c5,499
374,c234,191
375,c1,1051
376,c1,402
377,c1,202
378,c5,683
379,c5,993
380,c5,444
381,c1,792
382,c5,687
383,c1,1130
384,c5,117
385,c234,574
386,c5,167
387,c5,672
388,c5,429
389,c234,575
390,c5,158
391,c5,226
392,c1,629
393,c234,228
394,c1,682
395,c5,47
396,c234,1094
397,c1,162
398,c5,492
399,c234,399
400,c1,132
401,c234,791
402,c234,706
403,c234,558
404,c5,522
405,c234,770
406,c1,1193
407,c1,394
408,c5,116
409,c1,31
410,c234,57
411,c5,465
412,c1,264
413,c1,302
414,c234,451
415,c234,184
416,c1,1103
417,c234,229
418,c234,2347
419,c1,131
420,c5,14
421,c1,1040
422,c1,805
423,c1,427
424,c1,107
425,c1,501
426,c1,737
427,c1,630
428,c1,1759
429,c1,207
430,c234,1052
431,c5,1397
432,c234,668
433,c234,900
434,c5,311
435,c1,80
436,c1,256
437,c1,725
438,c234,73
439,c5,164
440,c1,516
441,c1,473
442,c1,277
443,c234,435
444,c234,1766
445,c5,106
446,c1,288
447,c234,339
448,c234,153
449,c5,1984
450,c5,355
451,c1,883
452,c5,616
453,c234,284
454,c1,675
455,c5,1361
456,c5,526
457,c234,563
458,c1,418
459,c234,755
460,c1,1357
461,c5,339
462,c234,327
463,c1,669
464,c234,287
465,c5,491
466,c5,101
467,c234,47
468,c1,486
469,c1,89
470,c234,581
471,c5,40
472,c1,631
473,c234,146
474,c5,42
475,c1,472
476,c1,543
477,c234,1218
478,c1,472
479,c1,575
480,c234,225
481,c234,82
482,c5,869
483,c5,838
484,c1,287
485,c5,1123
486,c1,300
487,c234,681
488,c234,184
489,c5,88
490,c5,52
491,c234,111
492,c234,429
493,c1,369
494,c234,373
495,c234,88
496,c234,35
497,c5,105
498,c234,376
499,c1,1199
500,c234,552
501,c1,429
502,c5,260
503,c1,267
504,c1,392
505,c5,969
506,c5,132
507,c234,129
508,c234,147
509,c234,35
510,c5,22
511,c5,263
512,c1,341
513,c5,75
514,c234,406
515,c5,945
516,c234,33
517,c5,317
518,c234,75
519,c1,460
520,c1,119
521,c1,149
522,c1,197
523,c5,100
524,c5,625
525,c5,166
526,c5,79
527,c1,405
528,c1,287
529,c1,1040
530,c5,806
531,c5,226
532,c1,260
533,c5,93
534,c1,78
535,c1,620
536,c234,428
537,c5,38
538,c5,139
539,c1,117
540,c5,335
541,c234,266
542,c234,642
543,c234,104
544,c234,344
545,c1,59
546,c1,288
547,c1,105
548,c234,346
549,c1,609
550,c5,445
551,c234,566
552,c1,92
553,c234,94
554,c5,866
555,c234,169
556,c234,243
557,c1,1255
558,c5,454
559,c1,244
560,c1,1311
561,c234,66
562,c1,728
563,c5,330
564,c1,75
565,c234,179
566,c234,241
567,c234,1061
568,c1,477
569,c5,82
570,c5,65
571,c5,247
572,c5,459
573,c1,566
574,c234,1304
575,c5,266
576,c234,379
577,c5,68
578,c5,207
579,c1,495
580,c5,357
581,c234,763
582,c1,259
583,c5,80
584,c1,465
585,c234,141
586,c234,717
587,c1,241
588,c1,1765
589,c1,513
590,c5,42
591,c234,175
592,c234,467
593,c234,175
594,c1,604
595,c1,245
596,c1,304
597,c1,957
598,c5,278
599,c1,370
600,c5,25
601,c234,238
602,c5,72
603,c5,605
604,c234,542
605,c234,554
606,c1,269
607,c5,251
608,c1,769
609,c5,278
610,c1,346
611,c5,121
612,c5,141
613,c1,126
614,c234,189
615,c1,537
616,c5,239
617,c234,1231
618,c1,168
619,c5,499
620,c5,169
621,c234,156
622,c5,395
623,c234,191
624,c1,52
625,c5,23
626,c5,1420
627,c234,1513
628,c1,690
629,c234,140
630,c234,358
631,c234,93
632,c1,486
633,c1,555
634,c234,42
635,c5,208
636,c234,510
637,c1,205
638,c1,194
639,c1,395
640,c5,598
641,c1,67
642,c5,862
643,c234,22
644,c5,495
645,c234,646
646,c234,661
647,c5,36
648,c1,281
649,c234,79
650,c5,103
651,c1,549
652,c1,518
653,c234,623
654,c234,277
655,c234,615
656,c5,134
657,c234,988
658,c1,377
659,c234,212
660,c5,178
661,c5,77
662,c1,385
663,c5,50
664,c1,119
665,c5,167
666,c234,328
667,c5,69
668,c1,508
669,c5,85
670,c234,286
671,c234,38
672,c234,327
673,c234,683
674,c1,602
675,c5,264
676,c1,270
677,c1,564
678,c5,136
679,c234,394
680,c1,39
681,c1,433
682,c1,473
683,c5,12
684,c234,1862
685,c5,1037
686,c5,29
687,c234,144
688,c1,268
689,c234,650
690,c5,284
691,c234,257
692,c5,451
693,c234,539
694,c5,81
695,c234,271
696,c234,318
697,c234,300
698,c5,69
699,c5,74
700,c234,240
701,c5,307
702,c234,606
703,c234,262
704,c1,272
705,c1,215
706,c234,206
707,c1,312
708,c5,406
709,c1,397
710,c1,488
711,c5,371
712,c1,614
713,c234,389
714,c5,176
715,c234,61
716,c234,99
717,c5,97
718,c5,176
719,c5,706
720,c1,1659
721,c5,316
722,c234,196
723,c234,625
724,c5,2367
725,c234,303
726,c5,2544
727,c1,51
728,c1,170
729,c1,99
730,c5,164
731,c5,310
732,c1,459
733,c1,598
734,c234,121
735,c234,130
736,c5,398
737,c234,86
738,c5,434
739,c1,492
740,c234,198
741,c5,77
742,c1,149
743,c234,302
744,c5,342
745,c1,465
746,c5,414
747,c1,367
748,c1,41
749,c234,27
750,c5,225
751,c5,274
752,c234,622
753,c1,125
754,c5,688
755,c1,245
756,c234,73
757,c234,223
758,c5,34
759,c1,434
760,c234,415
761,c1,1292
762,c1,140
763,c1,132
764,c234,324
765,c1,622
766,c234,87
767,c5,1733
768,c1,595
769,c5,148
770,c234,474
771,c5,48
772,c5,200
773,c5,124
774,c1,91
775,c234,314
776,c1,593
777,c5,212
778,c5,278
779,c234,428
780,c5,924
781,c1,470
782,c234,457
783,c5,441
784,c234,922
785,c1,886
786,c234,581
787,c1,104
788,c234,294
789,c234,63
790,c234,400
791,c234,195
792,c234,347
793,c1,101
794,c1,1356
795,c5,61
796,c5,255
797,c5,349
798,c1,811
799,c234,300
800,c234,260
801,c234,320
802,c5,204
803,c234,207
804,c5,204
805,c1,313
806,c1,91
807,c5,613
808,c234,273
809,c5,322
810,c5,323
811,c1,643
812,c1,165
813,c5,105
814,c5,471
815,c1,276
816,c5,287
817,c5,69
818,c5,593
819,c5,588
820,c5,81
821,c234,604
822,c1,1690
823,c5,71
824,c1,284
825,c234,171
826,c5,136
827,c5,544
828,c234,428
829,c1,281
830,c5,544
831,c234,51
832,c1,136
833,c234,254
834,c234,437
835,c5,366
836,c234,453
837,c234,132
838,c5,1044
839,c5,36
840,c5,68
841,c234,701
842,c5,291
843,c5,67
844,c5,52
845,c1,669
846,c234,2940
847,c1,180
848,c234,253
849,c5,54
850,c1,622
851,c5,545
852,c1,224
853,c5,536
854,c234,412
855,c234,710
856,c1,178
857,c234,205
858,c1,138
859,c5,290
860,c1,1637
861,c1,568
862,c234,909
863,c1,161
864,c1,465
865,c5,155
866,c5,52
867,c5,232
868,c1,207
869,c1,132
870,c1,143
871,c5,489
872,c234,197
873,c5,302
874,c234,589
875,c1,535
876,c5,117
877,c5,223
878,c5,318
879,c234,40
880,c1,131
881,c234,994
882,c1,201
883,c5,152
884,c234,448
885,c5,240
886,c5,485
887,c234,159
888,c1,456
889,c5,174
890,c1,116
891,c5,329
892,c234,238
893,c234,333
894,c1,155
895,c5,59
896,c1,347
897,c1,571
898,c234,73
899,c5,561
900,c5,404
901,c234,803
902,c1,135
903,c5,70
904,c1,709
905,c1,122
906,c5,80
907,c234,685
908,c5,49
909,c5,270
910,c5,259
911,c5,396
912,c5,214
913,c1,135
914,c5,164
915,c1,502
916,c234,646
917,c5,139
918,c1,275
919,c1,97
920,c234,191
921,c234,126
922,c234,80
923,c234,449
924,c234,281
925,c1,753
926,c5,396
927,c5,154
928,c234,526
929,c1,93
930,c1,415
931,c1,23
932,c234,476
933,c234,276
934,c234,307
935,c5,155
936,c5,39
937,c234,200
938,c234,248
939,c1,524
940,c1,431
941,c1,815
942,c1,119
943,c5,155
944,c1,18
945,c5,345
946,c1,10
947,c5,71
948,c234,204
949,c234,410
950,c234,866
951,c234,166
952,c234,1042
953,c1,396
954,c1,142
955,c234,199
956,c5,102
957,c1,70
958,c1,180
959,c1,266
960,c5,720
961,c234,507
962,c5,70
963,c234,104
964,c1,289
965,c234,541
966,c1,948
967,c1,352
968,c5,364
969,c5,625
970,c1,928
971,c5,480
972,c1,333
973,c1,222
974,c5,169
975,c1,136
976,c1,134
977,c5,21
978,c234,469
979,c5,232
980,c5,48
981,c5,78
982,c1,132
983,c234,41
984,c1,417
985,c1,416
986,c234,550
987,c1,125
988,c234,88
989,c234,767
990,c234,456
991,c1,283
992,c234,246
993,c234,622
994,c5,1002
995,c1,107
996,c234,455
997,c234,196
998,c234,415
999,c5,63
1000,c234,707
1001,c234,1420
1002,c1,460
1003,c234,636
1004,c1,173
1005,c234,339
1006,c1,792
1007,c5,439
1008,c1,429
1009,c234,330
1010,c5,196
1011,c234,879
1012,c234,930
1013,c1,135
1014,c5,36
1015,c234,32
1016,c1,155
1017,c5,879
1018,c234,386
1019,c1,117
1020,c1,14
1021,c1,131
1022,c234,88
1023,c234,605
1024,c234,721
1025,c5,380
1026,c5,88
1027,c1,158
1028,c1,440
1029,c1,836
1030,c5,293
1031,c5,371
1032,c1,606
1033,c1,33
1034,c1,222
1035,c234,228
1036,c5,133
1037,c234,1086
1038,c1,166
1039,c5,288
1040,c5,13
1041,c5,501
1042,c1,639
1043,c234,2688
1044,c1,57
1045,c1,222
1046,c234,367
1047,c234,214
1048,c5,795
1049,c1,419
1050,c1,90
1051,c5,2094
1052,c234,129
1053,c1,40
1054,c5,643
1055,c234,312
1056,c1,1074
1057,c234,269
1058,c234,396
1059,c5,738
1060,c234,159
1061,c5,519
1062,c5,216
1063,c234,333
1064,c1,256
1065,c5,102
1066,c234,365
1067,c234,213
1068,c5,239
1069,c234,869
1070,c1,65
1071,c5,601
1072,c1,68
1073,c1,122
1074,c1,127
1075,c234,316
1076,c1,222
1077,c5,448
1078,c1,155
1079,c5,324
1080,c5,584
1081,c234,1073
1082,c1,501
1083,c1,43
1084,c1,296
1085,c234,439
1086,c1,334
1087,c234,122
1088,c234,477
1089,c1,390
1090,c1,362
1091,c5,339
1092,c234,199
1093,c5,210
1094,c1,132
1095,c1,222
1096,c5,149
1097,c5,697
1098,c234,95
1099,c234,396
1100,c234,782
1101,c5,125
1102,c234,150
1103,c1,429
1104,c5,378
1105,c5,39
1106,c234,380
1107,c234,121
1108,c234,13
1109,c234,111
1110,c1,198
1111,c234,811
1112,c5,192
1113,c234,286
1114,c1,274
1115,c1,92
1116,c234,415
1117,c5,186
1118,c1,622
1119,c1,929
1120,c234,115
1121,c234,188
1122,c234,176
1123,c234,132
1124,c234,1126
1125,c1,167
1126,c5,207
1127,c5,268
1128,c234,304
1129,c234,1051
1130,c1,73
1131,c1,446
1132,c1,651
1133,c234,411
1134,c5,98
1135,c234,32
1136,c1,382
1137,c234,268
1138,c234,404
1139,c5,116
1140,c5,257
1141,c1,57
1142,c5,1039
1143,c1,302
1144,c5,118
1145,c234,741
1146,c1,1256
1147,c234,422
1148,c1,261
1149,c1,1419
1150,c1,432
1151,c234,929
1152,c5,444
1153,c5,44
1154,c1,669
1155,c5,120
1156,c234,555
1157,c234,174
1158,c234,375
1159,c234,106
1160,c5,125
1161,c234,807
1162,c5,419
1163,c234,477
1164,c5,933
1165,c234,343
1166,c5,130
1167,c1,263
1168,c234,125
1169,c5,1036
1170,c5,764
1171,c5,839
1172,c5,175
1173,c234,1018
1174,c1,185
1175,c5,66
1176,c234,435
1177,c1,952
1178,c5,150
1179,c5,298
1180,c5,78
1181,c234,78
1182,c234,805
1183,c5,246
1184,c234,608
1185,c234,608
1186,c5,393
1187,c1,133
1188,c234,148
1189,c1,132
1190,c234,310
1191,c5,8
1192,c1,912
1193,c1,470
1194,c234,254
1195,c234,648
1196,c5,156
1197,c5,95
1198,c1,174
1199,c5,89
1200,c5,271
1201,c234,144
1202,c234,376
1203,c234,56
1204,c234,673
1205,c1,591
1206,c234,68
1207,c5,611
1208,c5,527
1209,c5,56
1210,c5,133
1211,c5,99
1212,c1,825
1213,c234,292
1214,c5,147
1215,c1,640
1216,c234,69
1217,c1,301
1218,c5,208
1219,c234,1151
1220,c5,361
1221,c1,151
1222,c1,143
1223,c234,1265
1224,c234,83
1225,c1,395
1226,c5,420
1227,c5,70
1228,c234,199
1229,c234,99
1230,c5,259
1231,c5,60
1232,c5,134
1233,c1,136
1234,c5,124
1235,c5,100
1236,c5,598
1237,c234,183
1238,c1,537
1239,c5,397
1240,c1,1770
1241,c5,130
1242,c5,499
1243,c234,916
1244,c5,2314
1245,c5,204
1246,c5,418
1247,c5,366
1248,c1,914
1249,c1,191
1250,c234,1201
1251,c5,150
1252,c234,277
1253,c234,189
1254,c5,478
1255,c234,312
1256,c234,132
1257,c1,101
1258,c234,20
1259,c234,434
1260,c234,368
1261,c5,597
1262,c5,587
1263,c5,343
1264,c1,169
1265,c234,413
1266,c234,27
1267,c5,101
1268,c5,233
1269,c5,107
1270,c234,842
1271,c5,192
1272,c5,213
1273,c1,47
1274,c5,98
1275,c234,181
1276,c1,232
1277,c234,23
1278,c5,59
1279,c234,130
1280,c1,113
1281,c1,299
1282,c5,166
1283,c234,899
1284,c1,408
1285,c5,363
1286,c234,920
1287,c1,301
1288,c1,548
1289,c234,34
1290,c234,184
1291,c5,400
1292,c1,184
1293,c234,693
1294,c234,1090
1295,c5,807
1296,c1,54
1297,c234,124
1298,c5,300
1299,c1,170
1300,c234,45
1301,c5,951
1302,c5,65
1303,c234,93
1304,c1,695
1305,c1,426
1306,c234,884
1307,c1,115
1308,c234,529
1309,c234,78
1310,c1,535
1311,c1,153
1312,c5,34
1313,c234,179
1314,c5,414
1315,c234,112
1316,c1,146
1317,c1,206
1318,c1,332
1319,c1,228
1320,c234,280
1321,c5,673
1322,c5,112
1323,c5,106
1324,c234,294
1325,c1,49
1326,c234,215
1327,c1,200
1328,c5,216
1329,c5,43
1330,c5,1325
1331,c1,699
1332,c234,447
1333,c5,194
1334,c5,59
1335,c1,58
1336,c1,83
1337,c5,173
1338,c234,234
1339,c1,152
1340,c5,65
1341,c1,536
1342,c234,498
1343,c234,264
1344,c234,75
1345,c5,309
1346,c5,76
1347,c234,364
1348,c5,830
1349,c5,174
1350,c5,329
1351,c1,1131
1352,c5,171
1353,c234,240
1354,c5,529
1355,c234,58
1356,c234,41
1357,c234,1260
1358,c1,260
1359,c5,68
1360,c5,45
1361,c5,257
1362,c1,237
1363,c1,150
1364,c1,96
1365,c1,287
1366,c5,62
1367,c234,200
1368,c1,453
1369,c1,111
1370,c1,244
1371,c5,436
1372,c5,355
1373,c5,911
1374,c234,1089
1375,c1,694
1376,c1,116
1377,c234,35
1378,c5,320
1379,c1,72
1380,c1,589
1381,c234,1049
1382,c1,1028
1383,c234,64
1384,c1,510
1385,c234,711
1386,c5,132
1387,c5,625
1388,c234,1070
1389,c234,215
1390,c1,742
1391,c1,88
1392,c234,549
1393,c234,832
1394,c234,606
1395,c1,175
1396,c1,59
1397,c234,428
1398,c234,31
1399,c5,146
1400,c5,132
1401,c234,1572
1402,c5,42
1403,c5,816
1404,c5,175
1405,c1,433
1406,c1,241
1407,c1,59
1408,c5,51
1409,c5,342
1410,c234,516
1411,c234,264
1412,c5,79
1413,c5,47
1414,c5,91
1415,c1,86
1416,c5,96
1417,c5,427
1418,c234,81
1419,c1,1032
1420,c5,284
1421,c5,604
1422,c1,561
1423,c234,356
1424,c5,174
1425,c234,62
1426,c5,102
1427,c5,1062
1428,c1,709
1429,c234,474
1430,c5,131
1431,c5,218
1432,c234,696
1433,c5,134
1434,c1,537
1435,c5,720
1436,c234,96
1437,c1,440
1438,c1,585
1439,c234,157
1440,c5,192
1441,c5,811
1442,c5,284
1443,c5,498
1444,c234,379
1445,c5,288
1446,c5,69
1447,c5,1062
1448,c5,283
1449,c5,173
1450,c1,164
1451,c1,242
1452,c5,344
1453,c234,77
1454,c1,371
1455,c234,768
1456,c1,315
1457,c234,136
1458,c234,204
1459,c234,197
1460,c234,479
1461,c234,377
1462,c5,376
1463,c234,225
1464,c1,143
1465,c234,161
1466,c1,211
1467,c5,201
1468,c1,70
1469,c5,259
1470,c1,350
1471,c1,758
1472,c5,935
1473,c5,1184
1474,c234,370
1475,c1,370
1476,c1,44
1477,c234,388
1478,c234,413
1479,c1,320
1480,c1,1101
1481,c234,176
1482,c1,51
1483,c1,85
1484,c1,655
1485,c234,447
1486,c5,153
1487,c5,150
1488,c234,291
1489,c5,177
1490,c1,10
1491,c1,1120
1492,c234,1077
1493,c5,222
1494,c5,89
1495,c1,181
1496,c234,1283
1497,c5,229
1498,c5,302
1499,c234,644
1500,c234,431
1501,c5,122
1502,c234,94
1503,c234,150
1504,c234,359
1505,c1,764
1506,c5,115
1507,c1,293
1508,c5,302
1509,c5,413
1510,c5,830
1511,c234,406
1512,c1,122
1513,c1,80
1514,c5,29
1515,c1,386
1516,c5,1434
1517,c5,1521
1518,c1,476
1519,c5,1000
1520,c5,247
1521,c5,605
1522,c234,554
1523,c5,114
1524,c5,45
1525,c5,335
1526,c234,1257
1527,c1,242
1528,c1,476
1529,c5,169
1530,c5,31
1531,c234,948
1532,c234,132
1533,c5,211
1534,c1,110
1535,c1,1131
1536,c5,218
1537,c1,81
1538,c1,366
1539,c1,656
1540,c1,1869
1541,c1,345
1542,c5,247
1543,c1,1071
1544,c5,172
1545,c1,245
1546,c5,240
1547,c5,36
1548,c1,132
1549,c5,58
1550,c234,420
1551,c234,108
1552,c1,1772
1553,c1,277
1554,c234,534
1555,c5,309
1556,c1,333
1557,c5,493
1558,c234,110
1559,c5,169
1560,c234,234
1561,c5,170
1562,c5,282
1563,c1,176
1564,c5,227
1565,c5,114
1566,c5,233
1567,c1,494
1568,c234,201
1569,c5,144
1570,c5,165
1571,c5,3726
1572,c5,47
1573,c5,361
1574,c5,24
1575,c5,134
1576,c234,388
1577,c5,193
1578,c1,472
1579,c1,128
1580,c5,238
1581,c5,38
1582,c5,168
1583,c1,65
1584,c234,92
1585,c234,242
1586,c5,310
1587,c234,110
1588,c5,432
1589,c1,396
1590,c234,603
1591,c5,330
1592,c234,149
1593,c234,35
1594,c234,27
1595,c234,372
1596,c234,552
1597,c234,14
1598,c5,497
1599,c5,120
1600,c5,169
1601,c5,221
1602,c234,85
1603,c234,458
1604,c1,376
1605,c5,70
1606,c1,176
1607,c234,180
1608,c1,384
1609,c5,326
1610,c1,146
1611,c5,73
1612,c1,285
1613,c1,1256
1614,c234,48
1615,c1,409
1616,c234,171
1617,c1,506
1618,c234,1460
1619,c5,117
1620,c234,110
1621,c234,441
1622,c5,81
1623,c1,347
1624,c1,62
1625,c5,184
1626,c5,184
1627,c5,1506
1628,c5,122
1629,c234,92
1630,c5,210
1631,c1,456
1632,c234,494
1633,c5,75
1634,c5,654
1635,c234,140
1636,c5,215
1637,c5,418
1638,c5,973
1639,c1,191
1640,c234,268
1641,c5,99
1642,c234,309
1643,c234,940
1644,c1,216
1645,c5,429
1646,c5,645
1647,c5,243
1648,c1,136
1649,c1,374
1650,c5,107
1651,c1,537
1652,c234,46
1653,c234,336
1654,c5,331
1655,c5,208
1656,c5,81
1657,c234,24
1658,c234,46
1659,c1,576
1660,c1,367
1661,c234,272
1662,c5,639
1663,c234,104
1664,c5,111
1665,c234,230
1666,c5,180
1667,c1,540
1668,c234,80
1669,c234,1488
1670,c1,199
1671,c1,26
1672,c5,238
1673,c234,286
1674,c1,148
1675,c5,61
1676,c1,401
1677,c234,41
1678,c234,24
1679,c234,794
1680,c5,751
1681,c234,1061
1682,c5,165
1683,c234,1184
1684,c1,107
1685,c1,186
1686,c1,719
1687,c234,384
1688,c1,525
1689,c1,278
1690,c5,477
1691,c1,1190
1692,c5,80
1693,c234,216
1694,c1,424
1695,c234,203
1696,c5,436
1697,c5,274
1698,c234,268
1699,c234,171
1700,c1,1243
1701,c5,170
1702,c234,127
1703,c234,143
1704,c5,27
1705,c1,220
1706,c234,154
1707,c5,286
1708,c1,477
1709,c1,304
1710,c234,181
1711,c5,183
1712,c234,168
1713,c234,509
1714,c5,378
1715,c1,413
1716,c5,138
1717,c5,101
1718,c234,118
1719,c5,331
1720,c1,33
1721,c234,420
1722,c1,158
1723,c234,120
1724,c5,509
1725,c234,255
1726,c234,1913
1727,c234,708
1728,c234,159
1729,c5,229
1730,c234,548
1731,c234,93
1732,c5,490
1733,c234,568
1734,c1,377
1735,c1,1309
1736,c1,299
1737,c1,867
1738,c234,244
1739,c5,144
1740,c1,39
1741,c234,290
1742,c5,500
1743,c234,294
1744,c234,615
1745,c234,480
1746,c234,234
1747,c234,940
1748,c234,113
1749,c5,64
1750,c5,248
1751,c234,75
1752,c5,55
1753,c1,120
1754,c5,198
1755,c234,614
1756,c234,127
1757,c1,443
1758,c1,1123
1759,c234,892
1760,c234,138
1761,c234,378
1762,c1,672
1763,c234,79
1764,c5,172
1765,c5,295
1766,c5,114
1767,c1,195
1768,c1,193
1769,c5,100
1770,c234,1240
1771,c5,107
1772,c5,477
1773,c5,84
1774,c234,913
1775,c234,328
1776,c5,79
1777,c234,156
1778,c5,65
1779,c5,408
1780,c1,392
1781,c234,423
1782,c5,876
1783,c1,333
1784,c5,195
1785,c5,91
1786,c1,246
1787,c1,329
1788,c5,30
1789,c5,2839
1790,c234,1685
1791,c5,27
1792,c234,240
1793,c1,76
1794,c1,380
1795,c1,281
1796,c5,413
1797,c234,9
1798,c1,603
1799,c5,300
1800,c5,349
1801,c234,114
1802,c5,61
1803,c5,155
1804,c234,892
1805,c1,175
1806,c5,877
1807,c5,67
1808,c5,179
1809,c5,342
1810,c5,705
1811,c5,362
1812,c1,432
1813,c234,235
1814,c5,273
1815,c5,145
1816,c234,652
1817,c5,150
1818,c234,439
1819,c5,406
1820,c5,173
1821,c1,106
1822,c5,174
1823,c5,131
1824,c1,498
1825,c5,568
1826,c234,406
1827,c234,145
1828,c1,1039
1829,c1,1049
1830,c234,476
1831,c5,136
1832,c1,287
1833,c234,80
1834,c234,362
1835,c1,359
1836,c234,460
1837,c234,522
1838,c234,603
1839,c234,77
1840,c1,616
1841,c5,285
1842,c234,249
1843,c234,297
1844,c1,70
1845,c1,460
1846,c5,882
1847,c1,70
1848,c234,386
1849,c234,938
1850,c1,92
1851,c234,190
1852,c1,259
1853,c234,101
1854,c1,43
1855,c234,614
